example_index,example_id,measurement_order_position,policy_id
3,jbb-018,4,compact_to_qwen::selective_deployable::0.10
3,jbb-018,5,compact_to_qwen::selective_deployable::0.25
3,jbb-018,6,compact_to_qwen::selective_deployable::0.50
3,jbb-018,7,rule_compact_to_qwen::cheap_only
3,jbb-018,8,rule_compact_to_qwen::full_information
3,jbb-018,9,rule_compact_to_qwen::selective_deployable::0.10
3,jbb-018,10,rule_compact_to_qwen::selective_deployable::0.25
3,jbb-018,11,rule_compact_to_qwen::selective_deployable::0.50
3,jbb-018,12,rule_to_compact::cheap_only
3,jbb-018,13,rule_to_compact::full_information
3,jbb-018,14,rule_to_compact::selective_deployable::0.10
4,jbb-197,0,rule_to_compact::selective_deployable::0.50
4,jbb-197,1,compact_to_qwen::cheap_only
4,jbb-197,2,compact_to_qwen::full_information
4,jbb-197,3,compact_to_qwen::selective_deployable::0.10
4,jbb-197,4,compact_to_qwen::selective_deployable::0.25
4,jbb-197,5,compact_to_qwen::selective_deployable::0.50
4,jbb-197,6,rule_compact_to_qwen::cheap_only
4,jbb-197,7,rule_compact_to_qwen::full_information
4,jbb-197,8,rule_compact_to_qwen::selective_deployable::0.10
4,jbb-197,9,rule_compact_to_qwen::selective_deployable::0.25
4,jbb-197,10,rule_compact_to_qwen::selective_deployable::0.50
4,jbb-197,11,rule_to_compact::cheap_only
4,jbb-197,12,rule_to_compact::full_information
4,jbb-197,13,rule_to_compact::selective_deployable::0.10
4,jbb-197,14,rule_to_compact::selective_deployable::0.25
5,jbb-013,0,compact_to_qwen::cheap_only
5,jbb-013,1,compact_to_qwen::full_information
5,jbb-013,2,compact_to_qwen::selective_deployable::0.10
5,jbb-013,3,compact_to_qwen::selective_deployable::0.25
5,jbb-013,4,compact_to_qwen::selective_deployable::0.50
5,jbb-013,5,rule_compact_to_qwen::cheap_only
5,jbb-013,6,rule_compact_to_qwen::full_information
5,jbb-013,7,rule_compact_to_qwen::selective_deployable::0.10
5,jbb-013,8,rule_compact_to_qwen::selective_deployable::0.25
5,jbb-013,9,rule_compact_to_qwen::selective_deployable::0.50
5,jbb-013,10,rule_to_compact::cheap_only
5,jbb-013,11,rule_to_compact::full_information
5,jbb-013,12,rule_to_compact::selective_deployable::0.10
5,jbb-013,13,rule_to_compact::selective_deployable::0.25
5,jbb-013,14,rule_to_compact::selective_deployable::0.50
6,jbb-040,0,compact_to_qwen::full_information
6,jbb-040,1,compact_to_qwen::selective_deployable::0.10
6,jbb-040,2,compact_to_qwen::selective_deployable::0.25
6,jbb-040,3,compact_to_qwen::selective_deployable::0.50
6,jbb-040,4,rule_compact_to_qwen::cheap_only
6,jbb-040,5,rule_compact_to_qwen::full_information
6,jbb-040,6,rule_compact_to_qwen::selective_deployable::0.10
6,jbb-040,7,rule_compact_to_qwen::selective_deployable::0.25
6,jbb-040,8,rule_compact_to_qwen::selective_deployable::0.50
6,jbb-040,9,rule_to_compact::cheap_only
6,jbb-040,10,rule_to_compact::full_information
6,jbb-040,11,rule_to_compact::selective_deployable::0.10
6,jbb-040,12,rule_to_compact::selective_deployable::0.25
6,jbb-040,13,rule_to_compact::selective_deployable::0.50
6,jbb-040,14,compact_to_qwen::cheap_only
7,jbb-063,0,compact_to_qwen::selective_deployable::0.10
7,jbb-063,1,compact_to_qwen::selective_deployable::0.25
7,jbb-063,2,compact_to_qwen::selective_deployable::0.50
7,jbb-063,3,rule_compact_to_qwen::cheap_only
7,jbb-063,4,rule_compact_to_qwen::full_information
7,jbb-063,5,rule_compact_to_qwen::selective_deployable::0.10
7,jbb-063,6,rule_compact_to_qwen::selective_deployable::0.25
7,jbb-063,7,rule_compact_to_qwen::selective_deployable::0.50
7,jbb-063,8,rule_to_compact::cheap_only
7,jbb-063,9,rule_to_compact::full_information
7,jbb-063,10,rule_to_compact::selective_deployable::0.10
7,jbb-063,11,rule_to_compact::selective_deployable::0.25
7,jbb-063,12,rule_to_compact::selective_deployable::0.50
7,jbb-063,13,compact_to_qwen::cheap_only
7,jbb-063,14,compact_to_qwen::full_information
8,jbb-175,0,compact_to_qwen::selective_deployable::0.25
8,jbb-175,1,compact_to_qwen::selective_deployable::0.50
8,jbb-175,2,rule_compact_to_qwen::cheap_only
8,jbb-175,3,rule_compact_to_qwen::full_information
8,jbb-175,4,rule_compact_to_qwen::selective_deployable::0.10
8,jbb-175,5,rule_compact_to_qwen::selective_deployable::0.25
8,jbb-175,6,rule_compact_to_qwen::selective_deployable::0.50
8,jbb-175,7,rule_to_compact::cheap_only
8,jbb-175,8,rule_to_compact::full_information
8,jbb-175,9,rule_to_compact::selective_deployable::0.10
8,jbb-175,10,rule_to_compact::selective_deployable::0.25
8,jbb-175,11,rule_to_compact::selective_deployable::0.50
8,jbb-175,12,compact_to_qwen::cheap_only
8,jbb-175,13,compact_to_qwen::full_information
8,jbb-175,14,compact_to_qwen::selective_deployable::0.10
9,jbb-185,0,compact_to_qwen::selective_deployable::0.50
9,jbb-185,1,rule_compact_to_qwen::cheap_only
9,jbb-185,2,rule_compact_to_qwen::full_information
9,jbb-185,3,rule_compact_to_qwen::selective_deployable::0.10
9,jbb-185,4,rule_compact_to_qwen::selective_deployable::0.25
9,jbb-185,5,rule_compact_to_qwen::selective_deployable::0.50
9,jbb-185,6,rule_to_compact::cheap_only
9,jbb-185,7,rule_to_compact::full_information
9,jbb-185,8,rule_to_compact::selective_deployable::0.10
9,jbb-185,9,rule_to_compact::selective_deployable::0.25
9,jbb-185,10,rule_to_compact::selective_deployable::0.50
9,jbb-185,11,compact_to_qwen::cheap_only
9,jbb-185,12,compact_to_qwen::full_information
9,jbb-185,13,compact_to_qwen::selective_deployable::0.10
9,jbb-185,14,compact_to_qwen::selective_deployable::0.25
10,jbb-187,0,rule_compact_to_qwen::cheap_only
10,jbb-187,1,rule_compact_to_qwen::full_information
10,jbb-187,2,rule_compact_to_qwen::selective_deployable::0.10
10,jbb-187,3,rule_compact_to_qwen::selective_deployable::0.25
10,jbb-187,4,rule_compact_to_qwen::selective_deployable::0.50
10,jbb-187,5,rule_to_compact::cheap_only
10,jbb-187,6,rule_to_compact::full_information
10,jbb-187,7,rule_to_compact::selective_deployable::0.10
10,jbb-187,8,rule_to_compact::selective_deployable::0.25
10,jbb-187,9,rule_to_compact::selective_deployable::0.50
10,jbb-187,10,compact_to_qwen::cheap_only
10,jbb-187,11,compact_to_qwen::full_information
10,jbb-187,12,compact_to_qwen::selective_deployable::0.10
10,jbb-187,13,compact_to_qwen::selective_deployable::0.25
10,jbb-187,14,compact_to_qwen::selective_deployable::0.50
11,jbb-004,0,rule_compact_to_qwen::full_information
11,jbb-004,1,rule_compact_to_qwen::selective_deployable::0.10
11,jbb-004,2,rule_compact_to_qwen::selective_deployable::0.25
11,jbb-004,3,rule_compact_to_qwen::selective_deployable::0.50
11,jbb-004,4,rule_to_compact::cheap_only
11,jbb-004,5,rule_to_compact::full_information
11,jbb-004,6,rule_to_compact::selective_deployable::0.10
11,jbb-004,7,rule_to_compact::selective_deployable::0.25
11,jbb-004,8,rule_to_compact::selective_deployable::0.50
11,jbb-004,9,compact_to_qwen::cheap_only
11,jbb-004,10,compact_to_qwen::full_information
11,jbb-004,11,compact_to_qwen::selective_deployable::0.10
11,jbb-004,12,compact_to_qwen::selective_deployable::0.25
11,jbb-004,13,compact_to_qwen::selective_deployable::0.50
11,jbb-004,14,rule_compact_to_qwen::cheap_only
12,jbb-033,0,rule_compact_to_qwen::selective_deployable::0.10
12,jbb-033,1,rule_compact_to_qwen::selective_deployable::0.25
12,jbb-033,2,rule_compact_to_qwen::selective_deployable::0.50
12,jbb-033,3,rule_to_compact::cheap_only
12,jbb-033,4,rule_to_compact::full_information
12,jbb-033,5,rule_to_compact::selective_deployable::0.10
12,jbb-033,6,rule_to_compact::selective_deployable::0.25
12,jbb-033,7,rule_to_compact::selective_deployable::0.50
12,jbb-033,8,compact_to_qwen::cheap_only
12,jbb-033,9,compact_to_qwen::full_information
12,jbb-033,10,compact_to_qwen::selective_deployable::0.10
12,jbb-033,11,compact_to_qwen::selective_deployable::0.25
12,jbb-033,12,compact_to_qwen::selective_deployable::0.50
12,jbb-033,13,rule_compact_to_qwen::cheap_only
12,jbb-033,14,rule_compact_to_qwen::full_information
13,jbb-085,0,rule_compact_to_qwen::selective_deployable::0.25
13,jbb-085,1,rule_compact_to_qwen::selective_deployable::0.50
13,jbb-085,2,rule_to_compact::cheap_only
13,jbb-085,3,rule_to_compact::full_information
13,jbb-085,4,rule_to_compact::selective_deployable::0.10
13,jbb-085,5,rule_to_compact::selective_deployable::0.25
13,jbb-085,6,rule_to_compact::selective_deployable::0.50
13,jbb-085,7,compact_to_qwen::cheap_only
13,jbb-085,8,compact_to_qwen::full_information
13,jbb-085,9,compact_to_qwen::selective_deployable::0.10
13,jbb-085,10,compact_to_qwen::selective_deployable::0.25
13,jbb-085,11,compact_to_qwen::selective_deployable::0.50
13,jbb-085,12,rule_compact_to_qwen::cheap_only
13,jbb-085,13,rule_compact_to_qwen::full_information
13,jbb-085,14,rule_compact_to_qwen::selective_deployable::0.10
14,jbb-035,0,rule_compact_to_qwen::selective_deployable::0.50
14,jbb-035,1,rule_to_compact::cheap_only
14,jbb-035,2,rule_to_compact::full_information
14,jbb-035,3,rule_to_compact::selective_deployable::0.10
14,jbb-035,4,rule_to_compact::selective_deployable::0.25
14,jbb-035,5,rule_to_compact::selective_deployable::0.50
14,jbb-035,6,compact_to_qwen::cheap_only
14,jbb-035,7,compact_to_qwen::full_information
14,jbb-035,8,compact_to_qwen::selective_deployable::0.10
14,jbb-035,9,compact_to_qwen::selective_deployable::0.25
14,jbb-035,10,compact_to_qwen::selective_deployable::0.50
14,jbb-035,11,rule_compact_to_qwen::cheap_only
14,jbb-035,12,rule_compact_to_qwen::full_information
14,jbb-035,13,rule_compact_to_qwen::selective_deployable::0.10
14,jbb-035,14,rule_compact_to_qwen::selective_deployable::0.25
15,jbb-199,0,rule_to_compact::cheap_only
15,jbb-199,1,rule_to_compact::full_information
15,jbb-199,2,rule_to_compact::selective_deployable::0.10
15,jbb-199,3,rule_to_compact::selective_deployable::0.25
15,jbb-199,4,rule_to_compact::selective_deployable::0.50
15,jbb-199,5,compact_to_qwen::cheap_only
15,jbb-199,6,compact_to_qwen::full_information
15,jbb-199,7,compact_to_qwen::selective_deployable::0.10
15,jbb-199,8,compact_to_qwen::selective_deployable::0.25
15,jbb-199,9,compact_to_qwen::selective_deployable::0.50
15,jbb-199,10,rule_compact_to_qwen::cheap_only
15,jbb-199,11,rule_compact_to_qwen::full_information
15,jbb-199,12,rule_compact_to_qwen::selective_deployable::0.10
15,jbb-199,13,rule_compact_to_qwen::selective_deployable::0.25
15,jbb-199,14,rule_compact_to_qwen::selective_deployable::0.50
16,jbb-169,0,rule_to_compact::full_information
16,jbb-169,1,rule_to_compact::selective_deployable::0.10
16,jbb-169,2,rule_to_compact::selective_deployable::0.25
16,jbb-169,3,rule_to_compact::selective_deployable::0.50
16,jbb-169,4,compact_to_qwen::cheap_only
16,jbb-169,5,compact_to_qwen::full_information
16,jbb-169,6,compact_to_qwen::selective_deployable::0.10
16,jbb-169,7,compact_to_qwen::selective_deployable::0.25
16,jbb-169,8,compact_to_qwen::selective_deployable::0.50
16,jbb-169,9,rule_compact_to_qwen::cheap_only
16,jbb-169,10,rule_compact_to_qwen::full_information
16,jbb-169,11,rule_compact_to_qwen::selective_deployable::0.10
16,jbb-169,12,rule_compact_to_qwen::selective_deployable::0.25
16,jbb-169,13,rule_compact_to_qwen::selective_deployable::0.50
16,jbb-169,14,rule_to_compact::cheap_only
17,jbb-069,0,rule_to_compact::selective_deployable::0.10
17,jbb-069,1,rule_to_compact::selective_deployable::0.25
17,jbb-069,2,rule_to_compact::selective_deployable::0.50
17,jbb-069,3,compact_to_qwen::cheap_only
17,jbb-069,4,compact_to_qwen::full_information
17,jbb-069,5,compact_to_qwen::selective_deployable::0.10
17,jbb-069,6,compact_to_qwen::selective_deployable::0.25
17,jbb-069,7,compact_to_qwen::selective_deployable::0.50
17,jbb-069,8,rule_compact_to_qwen::cheap_only
17,jbb-069,9,rule_compact_to_qwen::full_information
17,jbb-069,10,rule_compact_to_qwen::selective_deployable::0.10
17,jbb-069,11,rule_compact_to_qwen::selective_deployable::0.25
17,jbb-069,12,rule_compact_to_qwen::selective_deployable::0.50
17,jbb-069,13,rule_to_compact::cheap_only
17,jbb-069,14,rule_to_compact::full_information
18,jbb-193,0,rule_to_compact::selective_deployable::0.25
18,jbb-193,1,rule_to_compact::selective_deployable::0.50
18,jbb-193,2,compact_to_qwen::cheap_only
18,jbb-193,3,compact_to_qwen::full_information
18,jbb-193,4,compact_to_qwen::selective_deployable::0.10
18,jbb-193,5,compact_to_qwen::selective_deployable::0.25
18,jbb-193,6,compact_to_qwen::selective_deployable::0.50
18,jbb-193,7,rule_compact_to_qwen::cheap_only
18,jbb-193,8,rule_compact_to_qwen::full_information
18,jbb-193,9,rule_compact_to_qwen::selective_deployable::0.10
18,jbb-193,10,rule_compact_to_qwen::selective_deployable::0.25
18,jbb-193,11,rule_compact_to_qwen::selective_deployable::0.50
18,jbb-193,12,rule_to_compact::cheap_only
18,jbb-193,13,rule_to_compact::full_information
18,jbb-193,14,rule_to_compact::selective_deployable::0.10
19,jbb-194,0,rule_to_compact::selective_deployable::0.50
19,jbb-194,1,compact_to_qwen::cheap_only
19,jbb-194,2,compact_to_qwen::full_information
19,jbb-194,3,compact_to_qwen::selective_deployable::0.10
19,jbb-194,4,compact_to_qwen::selective_deployable::0.25
19,jbb-194,5,compact_to_qwen::selective_deployable::0.50
19,jbb-194,6,rule_compact_to_qwen::cheap_only
19,jbb-194,7,rule_compact_to_qwen::full_information
19,jbb-194,8,rule_compact_to_qwen::selective_deployable::0.10
19,jbb-194,9,rule_compact_to_qwen::selective_deployable::0.25
19,jbb-194,10,rule_compact_to_qwen::selective_deployable::0.50
19,jbb-194,11,rule_to_compact::cheap_only
19,jbb-194,12,rule_to_compact::full_information
19,jbb-194,13,rule_to_compact::selective_deployable::0.10
19,jbb-194,14,rule_to_compact::selective_deployable::0.25
20,jbb-096,0,compact_to_qwen::cheap_only
20,jbb-096,1,compact_to_qwen::full_information
20,jbb-096,2,compact_to_qwen::selective_deployable::0.10
20,jbb-096,3,compact_to_qwen::selective_deployable::0.25
20,jbb-096,4,compact_to_qwen::selective_deployable::0.50
20,jbb-096,5,rule_compact_to_qwen::cheap_only
20,jbb-096,6,rule_compact_to_qwen::full_information
20,jbb-096,7,rule_compact_to_qwen::selective_deployable::0.10
20,jbb-096,8,rule_compact_to_qwen::selective_deployable::0.25
20,jbb-096,9,rule_compact_to_qwen::selective_deployable::0.50
20,jbb-096,10,rule_to_compact::cheap_only
20,jbb-096,11,rule_to_compact::full_information
20,jbb-096,12,rule_to_compact::selective_deployable::0.10
20,jbb-096,13,rule_to_compact::selective_deployable::0.25
20,jbb-096,14,rule_to_compact::selective_deployable::0.50
21,jbb-156,0,compact_to_qwen::full_information
21,jbb-156,1,compact_to_qwen::selective_deployable::0.10
21,jbb-156,2,compact_to_qwen::selective_deployable::0.25
21,jbb-156,3,compact_to_qwen::selective_deployable::0.50
21,jbb-156,4,rule_compact_to_qwen::cheap_only
21,jbb-156,5,rule_compact_to_qwen::full_information
21,jbb-156,6,rule_compact_to_qwen::selective_deployable::0.10
21,jbb-156,7,rule_compact_to_qwen::selective_deployable::0.25
21,jbb-156,8,rule_compact_to_qwen::selective_deployable::0.50
21,jbb-156,9,rule_to_compact::cheap_only
21,jbb-156,10,rule_to_compact::full_information
21,jbb-156,11,rule_to_compact::selective_deployable::0.10
21,jbb-156,12,rule_to_compact::selective_deployable::0.25
21,jbb-156,13,rule_to_compact::selective_deployable::0.50
21,jbb-156,14,compact_to_qwen::cheap_only
22,jbb-088,0,compact_to_qwen::selective_deployable::0.10
22,jbb-088,1,compact_to_qwen::selective_deployable::0.25
22,jbb-088,2,compact_to_qwen::selective_deployable::0.50
22,jbb-088,3,rule_compact_to_qwen::cheap_only
22,jbb-088,4,rule_compact_to_qwen::full_information
22,jbb-088,5,rule_compact_to_qwen::selective_deployable::0.10
22,jbb-088,6,rule_compact_to_qwen::selective_deployable::0.25
22,jbb-088,7,rule_compact_to_qwen::selective_deployable::0.50
22,jbb-088,8,rule_to_compact::cheap_only
22,jbb-088,9,rule_to_compact::full_information
22,jbb-088,10,rule_to_compact::selective_deployable::0.10
22,jbb-088,11,rule_to_compact::selective_deployable::0.25
22,jbb-088,12,rule_to_compact::selective_deployable::0.50
22,jbb-088,13,compact_to_qwen::cheap_only
22,jbb-088,14,compact_to_qwen::full_information
23,jbb-042,0,compact_to_qwen::selective_deployable::0.25
23,jbb-042,1,compact_to_qwen::selective_deployable::0.50
23,jbb-042,2,rule_compact_to_qwen::cheap_only
23,jbb-042,3,rule_compact_to_qwen::full_information
23,jbb-042,4,rule_compact_to_qwen::selective_deployable::0.10
23,jbb-042,5,rule_compact_to_qwen::selective_deployable::0.25
23,jbb-042,6,rule_compact_to_qwen::selective_deployable::0.50
23,jbb-042,7,rule_to_compact::cheap_only
23,jbb-042,8,rule_to_compact::full_information
23,jbb-042,9,rule_to_compact::selective_deployable::0.10
23,jbb-042,10,rule_to_compact::selective_deployable::0.25
23,jbb-042,11,rule_to_compact::selective_deployable::0.50
23,jbb-042,12,compact_to_qwen::cheap_only
23,jbb-042,13,compact_to_qwen::full_information
23,jbb-042,14,compact_to_qwen::selective_deployable::0.10
24,jbb-044,0,compact_to_qwen::selective_deployable::0.50
24,jbb-044,1,rule_compact_to_qwen::cheap_only
24,jbb-044,2,rule_compact_to_qwen::full_information
24,jbb-044,3,rule_compact_to_qwen::selective_deployable::0.10
24,jbb-044,4,rule_compact_to_qwen::selective_deployable::0.25
24,jbb-044,5,rule_compact_to_qwen::selective_deployable::0.50
24,jbb-044,6,rule_to_compact::cheap_only
24,jbb-044,7,rule_to_compact::full_information
24,jbb-044,8,rule_to_compact::selective_deployable::0.10
24,jbb-044,9,rule_to_compact::selective_deployable::0.25
24,jbb-044,10,rule_to_compact::selective_deployable::0.50
24,jbb-044,11,compact_to_qwen::cheap_only
24,jbb-044,12,compact_to_qwen::full_information
24,jbb-044,13,compact_to_qwen::selective_deployable::0.10
24,jbb-044,14,compact_to_qwen::selective_deployable::0.25
25,jbb-039,0,rule_compact_to_qwen::cheap_only
25,jbb-039,1,rule_compact_to_qwen::full_information
25,jbb-039,2,rule_compact_to_qwen::selective_deployable::0.10
25,jbb-039,3,rule_compact_to_qwen::selective_deployable::0.25
25,jbb-039,4,rule_compact_to_qwen::selective_deployable::0.50
25,jbb-039,5,rule_to_compact::cheap_only
25,jbb-039,6,rule_to_compact::full_information
25,jbb-039,7,rule_to_compact::selective_deployable::0.10
25,jbb-039,8,rule_to_compact::selective_deployable::0.25
25,jbb-039,9,rule_to_compact::selective_deployable::0.50
25,jbb-039,10,compact_to_qwen::cheap_only
25,jbb-039,11,compact_to_qwen::full_information
25,jbb-039,12,compact_to_qwen::selective_deployable::0.10
25,jbb-039,13,compact_to_qwen::selective_deployable::0.25
25,jbb-039,14,compact_to_qwen::selective_deployable::0.50
26,jbb-019,0,rule_compact_to_qwen::full_information
26,jbb-019,1,rule_compact_to_qwen::selective_deployable::0.10
26,jbb-019,2,rule_compact_to_qwen::selective_deployable::0.25
26,jbb-019,3,rule_compact_to_qwen::selective_deployable::0.50
26,jbb-019,4,rule_to_compact::cheap_only
26,jbb-019,5,rule_to_compact::full_information
26,jbb-019,6,rule_to_compact::selective_deployable::0.10
26,jbb-019,7,rule_to_compact::selective_deployable::0.25
26,jbb-019,8,rule_to_compact::selective_deployable::0.50
26,jbb-019,9,compact_to_qwen::cheap_only
26,jbb-019,10,compact_to_qwen::full_information
26,jbb-019,11,compact_to_qwen::selective_deployable::0.10
26,jbb-019,12,compact_to_qwen::selective_deployable::0.25
26,jbb-019,13,compact_to_qwen::selective_deployable::0.50
26,jbb-019,14,rule_compact_to_qwen::cheap_only
27,jbb-003,0,rule_compact_to_qwen::selective_deployable::0.10
27,jbb-003,1,rule_compact_to_qwen::selective_deployable::0.25
27,jbb-003,2,rule_compact_to_qwen::selective_deployable::0.50
27,jbb-003,3,rule_to_compact::cheap_only
27,jbb-003,4,rule_to_compact::full_information
27,jbb-003,5,rule_to_compact::selective_deployable::0.10
27,jbb-003,6,rule_to_compact::selective_deployable::0.25
27,jbb-003,7,rule_to_compact::selective_deployable::0.50
27,jbb-003,8,compact_to_qwen::cheap_only
27,jbb-003,9,compact_to_qwen::full_information
27,jbb-003,10,compact_to_qwen::selective_deployable::0.10
27,jbb-003,11,compact_to_qwen::selective_deployable::0.25
27,jbb-003,12,compact_to_qwen::selective_deployable::0.50
27,jbb-003,13,rule_compact_to_qwen::cheap_only
27,jbb-003,14,rule_compact_to_qwen::full_information
28,jbb-090,0,rule_compact_to_qwen::selective_deployable::0.25
28,jbb-090,1,rule_compact_to_qwen::selective_deployable::0.50
28,jbb-090,2,rule_to_compact::cheap_only
28,jbb-090,3,rule_to_compact::full_information
28,jbb-090,4,rule_to_compact::selective_deployable::0.10
28,jbb-090,5,rule_to_compact::selective_deployable::0.25
28,jbb-090,6,rule_to_compact::selective_deployable::0.50
28,jbb-090,7,compact_to_qwen::cheap_only
28,jbb-090,8,compact_to_qwen::full_information
28,jbb-090,9,compact_to_qwen::selective_deployable::0.10
28,jbb-090,10,compact_to_qwen::selective_deployable::0.25
28,jbb-090,11,compact_to_qwen::selective_deployable::0.50
28,jbb-090,12,rule_compact_to_qwen::cheap_only
28,jbb-090,13,rule_compact_to_qwen::full_information
28,jbb-090,14,rule_compact_to_qwen::selective_deployable::0.10
29,jbb-084,0,rule_compact_to_qwen::selective_deployable::0.50
29,jbb-084,1,rule_to_compact::cheap_only
29,jbb-084,2,rule_to_compact::full_information
29,jbb-084,3,rule_to_compact::selective_deployable::0.10
29,jbb-084,4,rule_to_compact::selective_deployable::0.25
29,jbb-084,5,rule_to_compact::selective_deployable::0.50
29,jbb-084,6,compact_to_qwen::cheap_only
29,jbb-084,7,compact_to_qwen::full_information
29,jbb-084,8,compact_to_qwen::selective_deployable::0.10
29,jbb-084,9,compact_to_qwen::selective_deployable::0.25
29,jbb-084,10,compact_to_qwen::selective_deployable::0.50
29,jbb-084,11,rule_compact_to_qwen::cheap_only
29,jbb-084,12,rule_compact_to_qwen::full_information
29,jbb-084,13,rule_compact_to_qwen::selective_deployable::0.10
29,jbb-084,14,rule_compact_to_qwen::selective_deployable::0.25
30,jbb-015,0,rule_to_compact::cheap_only
30,jbb-015,1,rule_to_compact::full_information
30,jbb-015,2,rule_to_compact::selective_deployable::0.10
30,jbb-015,3,rule_to_compact::selective_deployable::0.25
30,jbb-015,4,rule_to_compact::selective_deployable::0.50
30,jbb-015,5,compact_to_qwen::cheap_only
30,jbb-015,6,compact_to_qwen::full_information
30,jbb-015,7,compact_to_qwen::selective_deployable::0.10
30,jbb-015,8,compact_to_qwen::selective_deployable::0.25
30,jbb-015,9,compact_to_qwen::selective_deployable::0.50
30,jbb-015,10,rule_compact_to_qwen::cheap_only
30,jbb-015,11,rule_compact_to_qwen::full_information
30,jbb-015,12,rule_compact_to_qwen::selective_deployable::0.10
30,jbb-015,13,rule_compact_to_qwen::selective_deployable::0.25
30,jbb-015,14,rule_compact_to_qwen::selective_deployable::0.50
31,jbb-179,0,rule_to_compact::full_information
31,jbb-179,1,rule_to_compact::selective_deployable::0.10
31,jbb-179,2,rule_to_compact::selective_deployable::0.25
31,jbb-179,3,rule_to_compact::selective_deployable::0.50
31,jbb-179,4,compact_to_qwen::cheap_only
31,jbb-179,5,compact_to_qwen::full_information
31,jbb-179,6,compact_to_qwen::selective_deployable::0.10
31,jbb-179,7,compact_to_qwen::selective_deployable::0.25
31,jbb-179,8,compact_to_qwen::selective_deployable::0.50
31,jbb-179,9,rule_compact_to_qwen::cheap_only
31,jbb-179,10,rule_compact_to_qwen::full_information
31,jbb-179,11,rule_compact_to_qwen::selective_deployable::0.10
31,jbb-179,12,rule_compact_to_qwen::selective_deployable::0.25
31,jbb-179,13,rule_compact_to_qwen::selective_deployable::0.50
31,jbb-179,14,rule_to_compact::cheap_only
32,jbb-001,0,rule_to_compact::selective_deployable::0.10
32,jbb-001,1,rule_to_compact::selective_deployable::0.25
32,jbb-001,2,rule_to_compact::selective_deployable::0.50
32,jbb-001,3,compact_to_qwen::cheap_only
32,jbb-001,4,compact_to_qwen::full_information
32,jbb-001,5,compact_to_qwen::selective_deployable::0.10
32,jbb-001,6,compact_to_qwen::selective_deployable::0.25
32,jbb-001,7,compact_to_qwen::selective_deployable::0.50
32,jbb-001,8,rule_compact_to_qwen::cheap_only
32,jbb-001,9,rule_compact_to_qwen::full_information
32,jbb-001,10,rule_compact_to_qwen::selective_deployable::0.10
32,jbb-001,11,rule_compact_to_qwen::selective_deployable::0.25
32,jbb-001,12,rule_compact_to_qwen::selective_deployable::0.50
